Train,From,Class,Engine,Destination,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,300,121,122,168,169,170,171,172,173,123,124,125,126,127,128,129,130,131,132,133,134,135,136,305,137,301,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,174,175,176,177,178,179,180,181,182
08:01,Sevenoaks,pass,EMU,Blackfriars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.24,,S08.29,,,S08.34,,S08.36/08.37,,S08.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:07,Orpington,pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P08.12,,S08.13,,S08.15/08.16,,S08.19,,S08.22,,,S08.24,S08.26,S08.29,S08.31,,,S08.33,,,,,,,,,,,,,,,
08:11,Gillingham,pass,EMU,Charing Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.11,S08.14/08.15,,S08.16/08.17,,,T08.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:15,Gillingham,pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.15,S08.18/08.20,,S08.21/08.22,,,P08.24,,,S08.34,,S08.36,S08.41,,S08.45,,S08.53,,,,,,S09.03/09.04,,,,,P09.08,,,,,,,,,,T09.17,,,,,,,,,,,,,,
08:17,Dover,pass,N2-6-0,Faversham,,,,,,,,,,,,,,,,,T09.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.17,S08.23,S08.30,S08.35,S08.38,S08.41,S08.47,S08.52/08.54,
08:17,Gillingham,pass,EMU,Sole St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.17,P08.22,,P08.25,,,P08.26,,,T08.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:20,Herne Bay,XP,V4-4-0,Cannon St,,,,,,,,,,,S08.20,,S08.26,S08.31,,S08.41/08.42,,,,S08.53/08.54,,,,,,,,,,,,,P09.05,,S09.08/09.10,,P09.12,,,P09.13,,,P09.25,,,,,,,P09.35,,T09.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:20,Maidstone,pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P09.01,,,,,,,S09.12/09.13,,P09.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
08:20,Orpington,pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P08.25,,S08.27,,S08.30/08.31,,S08.34,,S08.37,,,S08.39,S08.41,S08.44,S08.46,,,S08.49,,S08.51,,,,T08.56,,,,,,,,,
08:21,Gillingham,pass,EMU,Cannon St,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S08.21,S08.24/08.27,,S08.28/08.29,,,T08.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
